Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
22,d8b1DAaAdBDFC36,Bush Group,http://www.lane-camacho.info/,Antigua and Barbuda,Mandatory value-added website,1971,Mining / Metals,9944
23,EfcFAE08b8F18D6,"Massey, Montoya and Johnston",http://lopez.com/,United States of America,Expanded solution-oriented artificial intelligence,2011,Program Development,2666
24,5e7A8d0bBEc47Af,Montgomery Ltd,https://hopkins.biz/,Turkey,Total multi-tasking functionalities,1990,Food Production,8159
25,EeaF8ddDE6B6686,Pace Group,http://dillon.info/,Gambia,Polarized asymmetric workforce,1986,Writing / Editing,5824
26,eFBd9DDfAD9efbf,Franklin-Wilkinson,https://robles.com/,Brunei Darussalam,Future-proofed context-sensitive artificial intelligence,2018,Utilities,5349
27,795cc8BF6eBbD5e,Rasmussen-Lawson,https://www.miranda-munoz.org/,Saint Martin,Reduced 24hour complexity,1982,International Affairs,2147
28,54A322dB3Dfb9AB,"Mata, Farrell and Mclean",http://www.murray-bowman.info/,Christmas Island,Progressive dedicated productivity,1979,Chemicals,6394
29,5D17f09F44Ab8cE,Perkins-Cooper,http://www.rush.com/,Honduras,Universal eco-centric open system,1984,Publishing Industry,8383
30,dBce1Da3f9da3dE,"Mooney, Barr and Hodges",https://www.bowers-lamb.com/,Netherlands,Stand-alone heuristic solution,1971,Consumer Services,1992
31,000BFD9e378Cfb7,"Cohen, Monroe and Dawson",http://www.mcguire.com/,Nicaragua,Right-sized mission-critical function,2013,Market Research,316
32,Ffd35fFb6E9cB1a,Frye-Fernandez,https://www.serrano.biz/,Bangladesh,Customizable executive installation,1977,Fishery,4328
33,69C7A8Fa49Cd35B,Mitchell-Fisher,http://marquez.com/,Morocco,Multi-layered asynchronous secured line,1981,Food Production,5921
34,295Bb5ed55D1bbE,"Bentley, Chavez and Bryant",https://www.krueger.info/,Cameroon,Reactive demand-driven function,1998,Non - Profit / Volunteering,1975
35,D97Ed4fE1EB45B7,"Cooley, Booth and Mathews",https://www.sharp.com/,Bosnia and Herzegovina,Exclusive coherent benchmark,1995,Recreational Facilities / Services,2407
36,92d60c876A1FE87,"Turner, Bradshaw and Werner",http://www.meyer.com/,Angola,Intuitive grid-enabled ability,2001,International Trade / Development,3900
37,741246062bC0Fe2,Murphy Inc,http://bailey-schaefer.com/,Philippines,Streamlined 4thgeneration flexibility,1978,Public Relations / PR,1465
38,F5DA7FBEA30eC1d,Mcclure-Mendoza,https://collier.com/,Lesotho,Proactive directional strategy,1978,Philanthropy,1378
39,a46fdCEA171B5C6,Chase Group,https://hodges.com/,El Salvador,Customer-focused next generation functionalities,2016,Investment Management / Hedge Fund / Private Equity,1795
40,ecF2A8a4ce5221F,Christian PLC,https://christian-joyce.com/,Argentina,Centralized dedicated alliance,1980,Farming,5581
41,0cB52ADB1075E7a,Briggs Group,http://pittman.info/,Sweden,Switchable transitional circuit,2019,Package / Freight Delivery,3328
42,009E819DD633af0,"Guzman, Powers and Mcdaniel",http://www.hurley-lewis.com/,Moldova,Polarized asymmetric orchestration,1987,Computer Games,2498
43,AaFBe3Bc1cd449c,Stokes-Henderson,http://woodward-hendricks.net/,Netherlands,Pre-emptive regional Internet solution,2015,Sports,8358
44,BA3F63f7Da539be,Benson-Horne,https://henson.net/,Swaziland,Triple-buffered upward-trending definition,2009,Information Technology / IT,3925
45,75FE1ED6aC2CB6F,Rivera Inc,http://www.donovan.info/,Brazil,Assimilated optimal toolset,2020,Public Relations / PR,1150
46,f79fEcaeDCc6CC5,Parrish-Mays,http://www.marshall.net/,Ecuador,Upgradable transitional Graphical User Interface,2019,Entertainment / Movie Production,1508
47,3eBD1fed24f6C1A,"Lewis, Stone and Atkinson",http://chang.com/,Bhutan,Universal interactive archive,2006,Non - Profit / Volunteering,4822
48,3DAB2cC43FebB6B,Ballard-Pitts,http://www.pena.com/,Luxembourg,Optional neutral policy,2015,Information Services,7918
49,45BffcF57Db2F56,Baker-Bush,http://www.irwin.com/,Taiwan,Future-proofed local core,2017,Outsourcing / Offshoring,4966
50,F7aE196F5C550C8,"Cuevas, Zuniga and Shaffer",http://www.johnson.org/,Lithuania,Universal attitude-oriented function,1975,Machinery,8149
51,dB9FffecbFB2f82,Moreno Ltd,https://www.underwood.com/,New Caledonia,Multi-layered bandwidth-monitored product,2001,Aviation / Aerospace,1524
52,87eFCBd13fcA9D2,Fry-Huynh,http://spears.com/,Philippines,Advanced user-facing knowledgebase,1989,Recreational Facilities / Services,4461
53,A93BbcA94abEdFc,Chen-Robertson,http://pittman.com/,Tonga,Decentralized client-server architecture,2019,Investment Banking / Venture,5733
54,deEF8CBbfecE07F,Hoffman-Holt,https://wilkins.net/,Italy,Phased composite interface,1991,Online Publishing,4341
55,D6a328f28bC46B4,"Taylor, Woodard and Hayden",http://frey.com/,Finland,Secured 24/7 adapter,2000,Supermarkets,567
56,5ce4Bf6c2b7C7ac,"Kramer, Prince and Rogers",https://www.mcknight.com/,Aruba,Cloned grid-enabled system engine,1978,Fundraising,3915
57,D818bFAA2EF83fd,"Hart, Norman and Solis",http://www.glenn.info/,Algeria,Progressive encompassing protocol,1996,Insurance,2098
58,AeafD4CAB79EC9F,Hall LLC,http://vaughn.info/,Dominican Republic,Universal bifurcated Local Area Network,1993,Program Development,9833
59,F3BCca4455FdeEC,"Boyle, Guzman and Sharp",https://www.perry.biz/,Austria,Implemented even-keeled open architecture,1992,Food Production,7953
60,0e2ecA0fa57b3eC,Ryan-York,https://huynh-cain.com/,Gabon,Enhanced radical groupware,2006,Glass / Ceramics / Concrete,3393
61,E66129B3ddEfB4E,Curry-Gillespie,https://cannon-baldwin.com/,Saint Martin,Programmable responsive synergy,1990,Research Industry,6548
62,950858dCfFD5D0C,Moon-Drake,http://powers-perry.com/,Montenegro,Total empowering product,1981,Environmental Services,8068
63,1efEc488F2493fb,Shaw Inc,http://www.andrews-hays.com/,Bouvet Island (Bouvetoya),Synchronized foreground frame,1975,Alternative Dispute Resolution,415
64,0131BE832bFBbE7,Tyler LLC,http://bray.biz/,Zambia,Decentralized grid-enabled infrastructure,1989,Maritime,343
65,Fdc1aa6b1c7e5bc,Buckley-Dougherty,https://www.drake-duarte.com/,Algeria,Ameliorated methodical neural-net,2007,Marketing / Advertising / Sales,6617
66,B45bBd402af75a0,Kent Inc,http://www.sampson.com/,Bahrain,Visionary dedicated matrix,1993,Electrical / Electronic Manufacturing,5599
67,ffFd5Ae7ebE3e2E,Norris LLC,http://cisneros.com/,Belgium,Synchronized maximized concept,1970,Translation / Localization,7982
68,EaDc7840cf6e14e,Frye PLC,http://www.norton.org/,Bangladesh,Reactive stable firmware,1993,Museums / Institutions,4887
69,0ef9B1cbAE3eA2E,Everett-Turner,https://www.riggs-kramer.com/,Guernsey,Compatible secondary portal,2011,Information Services,7011
70,d3E5d3DAbEfF18F,"Mckenzie, Mora and Guerrero",http://www.richardson.com/,Micronesia,Sharable context-sensitive array,1971,Medical Practice,1957
71,E9FDA0ccb74DC6c,"Johns, Mcdonald and Barber",http://erickson.biz/,Taiwan,Polarized impactful challenge,2002,Computer / Network Security,2337
72,baBAa4aCaCE4fEA,Henson LLC,http://www.villegas.com/,Hungary,Decentralized asymmetric flexibility,2001,Accounting,6297
73,4abd00EccC5E5C0,Friedman Group,http://www.harris.com/,Malta,Re-contextualized eco-centric time-frame,2004,Staffing / Recruiting,6824
74,bfa1EfC27e3Dd1D,Howe-Gregory,https://www.lutz-lambert.biz/,Angola,Object-based next generation migration,1995,Maritime,8037
75,802f78c56Fc1ced,"Stephens, Aguilar and Weber",https://www.porter.com/,Belarus,Business-focused web-enabled open architecture,1980,Professional Training,5013
76,7adF117B467fa60,Ferguson Group,http://lang.com/,Brazil,Horizontal directional project,1996,Textiles,3621
77,AbFEb2ECDAbdF41,Haas-Nelson,http://www.davis.biz/,Congo,Enhanced impactful adapter,2020,Mechanical or Industrial Engineering,1940
78,7eCc8E131B4d26E,"Esparza, Bullock and Hale",https://cervantes.com/,Guinea-Bissau,Integrated explicit leverage,2004,Law Enforcement,2521
79,19DCBF8dceEffB1,"Charles, Reyes and Flores",https://barker.com/,Jordan,Phased discrete approach,1972,Insurance,9961
80,8c5F9b0EbC8A51F,Drake LLC,https://watts-allen.net/,Turks and Caicos Islands,Multi-layered radical hierarchy,2009,Motion Pictures / Film,1149
81,6FAEDFE7DBa1Cf5,"Larsen, Combs and Mcneil",http://www.lamb-stokes.com/,Sri Lanka,Mandatory 4thgeneration middleware,2011,Logistics / Procurement,7029
82,9AC2e52f4d6fE2A,Morrison-Barker,http://flynn-dunn.com/,Singapore,Managed bifurcated concept,2001,Human Resources / HR,4535
83,BD41b3ba8D4ddAb,"Everett, Davidson and Blackwell",http://gentry.com/,Lesotho,Enterprise-wide bandwidth-monitored interface,1993,Architecture / Planning,6708
84,7B566AE031Cbad6,Pitts PLC,https://rice.com/,Kiribati,Robust system-worthy function,1989,Health / Fitness,4351
85,61A1efe4B72DC34,Davenport-Buckley,http://blackwell.org/,Dominica,Multi-tiered analyzing website,2018,Utilities,941
86,3B2dEB7CE20f4aE,"Carson, Wall and Ayers",http://avila.net/,Kiribati,Exclusive multimedia flexibility,2021,Food / Beverages,3359
87,EBc16Caba9271B9,Powell Group,https://www.valencia-stafford.info/,Tajikistan,Cloned multi-state system engine,2005,Political Organization,5173
88,CF649d9FEaFA7dB,Cuevas-Benton,https://torres-garcia.com/,Haiti,Ameliorated local middleware,2014,Medical Equipment,7714
89,bFeAd1437FC3B7d,Brown-Cox,http://www.bruce.net/,Peru,Persistent transitional knowledge user,1976,Publishing Industry,3336
90,EeADE0A6f9563f4,Winters Inc,http://www.sanford.com/,India,Visionary directional Graphical User Interface,1986,Government Administration,5843
91,90EF564fc3dDe2e,Nixon Ltd,http://www.ibarra-conrad.biz/,Belarus,Down-sized systematic protocol,2019,Staffing / Recruiting,5909
92,Dc113f88b1bCEA7,"Mcconnell, Castro and Jensen",http://donovan-norman.net/,Madagascar,Multi-tiered asynchronous secured line,2011,Restaurants,3987
93,ED6f78d8Fef35f9,Cochran PLC,https://mathis.biz/,Norway,Polarized mission-critical instruction set,1983,Commercial Real Estate,2269
94,5cCE94a0b94a5b6,Marshall Group,http://austin-valenzuela.org/,Guinea-Bissau,Face-to-face multi-state success,2018,Individual / Family Services,8858
95,8C80F9daB7c9Cf8,Elliott Ltd,http://www.velazquez.com/,Benin,Horizontal 3rdgeneration workforce,1971,Religious Institutions,7885
96,70b14bEADe9EBFE,"Cooper, Sosa and Horn",http://www.carroll.org/,French Polynesia,Assimilated non-volatile intranet,1999,Online Publishing,5321
97,ecA44CdCCec0b29,Baird-Abbott,http://mcmahon.com/,New Zealand,Open-architected transitional artificial intelligence,2010,Entertainment / Movie Production,2979
98,C2EDfa5ddC9D76C,Ayers and Sons,http://pierce.com/,South Africa,Focused asymmetric attitude,2004,Music,3515
99,c130B7aA59C950E,Mcguire and Sons,https://mcdaniel-kemp.biz/,Mauritania,Digitized system-worthy matrices,1982,Design,4793
100,3D0fc8ac6CCe733,"Potter, Dyer and Stout",http://www.ochoa.biz/,Iceland,Right-sized grid-enabled instruction set,2012,Computer Software / Engineering,8904
