Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
38,ea4C9c6468D64ff,"Dennis, Mcgrath and Ingram",http://massey.com/,Venezuela,Re-contextualized actuating instruction set,2015,Commercial Real Estate,6568
39,Ef3d1dd0fcD6CC8,Torres PLC,http://mckinney.biz/,Burkina Faso,Persistent mission-critical framework,1970,Fundraising,2063
40,4e9AACB395432EF,"Hancock, Nixon and Floyd",https://vega.com/,Canada,Distributed fault-tolerant artificial intelligence,2016,Events Services,3768
41,DbA1dD73F2ffaff,Spears-Stevens,https://austin-stephenson.org/,New Zealand,Synergistic real-time project,1995,Wine / Spirits,4233
42,bAc370b77986D2D,"Bullock, Drake and Burke",http://paul.com/,Cameroon,Pre-emptive impactful definition,2002,Mental Health Care,3281
43,c173e5F214f8342,Lara-Zuniga,http://www.salinas.net/,Benin,Down-sized exuding projection,1988,Architecture / Planning,6121
44,2b9AaDA94AEBe85,Church LLC,https://www.novak.com/,France,Virtual client-driven hub,1971,International Affairs,6430
45,0f51eFe0828cCAd,"Zuniga, Moreno and Knight",http://www.ortega.org/,Thailand,Decentralized radical flexibility,2015,Food Production,2571
46,a230Eb0Eca7F3E7,"Miles, Good and Clark",http://mays.info/,Barbados,Self-enabling system-worthy task-force,2019,Electrical / Electronic Manufacturing,6206
47,bfc6Fb1CFbD6bfB,Valentine LLC,http://sampson.net/,Pakistan,Devolved optimal capacity,1973,Primary / Secondary Education,8645
48,b1476f865Ee0e7F,Howe and Sons,http://acosta.com/,Christmas Island,Intuitive explicit archive,1971,Entertainment / Movie Production,6175
49,867Cd42d7D40afE,Carson-Krause,http://www.davila.biz/,Faroe Islands,Extended 3rdgeneration data-warehouse,1998,Photography,9625
50,35bEA8Df93EC7Bf,Werner-Contreras,https://www.schroeder.com/,Bahrain,Switchable impactful archive,1972,Chemicals,3849
51,D36DD2efEBBC39c,Zhang-Coleman,http://www.yang.biz/,Bulgaria,Business-focused upward-trending moratorium,2022,Online Publishing,1686
52,6CcEf6a92edeFc7,Schultz-Cooke,https://www.nolan.com/,India,Organized analyzing projection,1996,Insurance,6987
53,eF2ECbCd98F2e08,"Richardson, Fischer and Cordova",http://www.may-duncan.biz/,Trinidad and Tobago,Vision-oriented human-resource installation,2007,Shipbuilding,5200
54,cEd1c876D03F65f,Best and Sons,https://vargas-rich.info/,Sao Tome and Principe,Programmable tangible encoding,1988,Apparel / Fashion,3854
55,fb63cD7f3B5F9B8,"Richardson, Hall and Vaughn",http://www.ward-poole.com/,New Caledonia,Vision-oriented object-oriented groupware,1989,Business Supplies / Equipment,9566
56,cE3BDE1AdfcEde7,Hansen PLC,https://monroe.com/,Rwanda,Fully-configurable bi-directional knowledgebase,1981,Other Industry,7916
57,f0fb309eAdf25eC,Harvey Inc,http://www.morales-hays.net/,Mongolia,Profit-focused high-level intranet,2006,Museums / Institutions,47
58,a4bdf0D6caC9130,"Gonzalez, Osborn and Spence",https://vargas-chambers.org/,Western Sahara,Reverse-engineered fresh-thinking support,1974,Real Estate / Mortgage,2367
59,F12d9CD625aEB79,"Fields, Hart and Flowers",https://www.archer.org/,Netherlands Antilles,Adaptive intermediate adapter,2016,Mining / Metals,9015
60,FDE86AE557Afe1A,Hernandez Inc,https://chung.info/,Mauritania,Phased zero-defect customer loyalty,1983,Retail Industry,4543
61,Af192C3e3D6b509,"Giles, Holloway and Petty",https://www.levine-dennis.net/,Nigeria,Multi-lateral local adapter,1982,Government Administration,8688
62,2BCDae2c7a16FcC,Mckay-Hull,http://hess.info/,Saint Kitts and Nevis,Exclusive high-level instruction set,2010,Package / Freight Delivery,6690
63,26d6cfb341aC7B7,Phelps-Salinas,https://lester.com/,Finland,Profound radical instruction set,2011,Plastics,9146
64,fF92fa5C2519DFe,"Zimmerman, Spears and Santana",https://waller-mays.biz/,Australia,Versatile interactive installation,2012,Food Production,7149
65,3DAc0EAfEF0D6a9,Pugh Ltd,https://www.buchanan-jarvis.info/,Western Sahara,Focused bifurcated knowledgebase,1980,Newspapers / Journalism,8986
66,DD2F2F8CD5eeA36,"Dawson, Estrada and Hanson",https://price.info/,Bouvet Island (Bouvetoya),Re-contextualized dedicated challenge,1996,Restaurants,6276
67,2bcBfB02DD3E0fE,"Nelson, Lawrence and Mcknight",https://torres.net/,American Samoa,Public-key coherent contingency,2014,Tobacco,750
68,BD6bEDCeE55Fd94,Barker-Roach,https://www.downs-bass.org/,Bosnia and Herzegovina,Mandatory uniform array,2015,Commercial Real Estate,5867
69,7AEB386b0dD5C61,Cross Ltd,http://sosa.com/,Germany,Assimilated cohesive instruction set,1970,Executive Office,9933
70,61ADd1FFae76E19,Rogers LLC,http://dennis.com/,Pakistan,Automated systemic capability,2008,Health / Fitness,3685
71,0B3E3bEB5bc5fbF,Figueroa-Carter,https://www.singleton-mitchell.biz/,Turks and Caicos Islands,Compatible bi-directional forecast,1975,Retail Industry,4238
72,6BD70cd3AFCf44F,"Mooney, Huerta and Mosley",https://mosley.net/,Kenya,Multi-lateral exuding utilization,2022,Government Administration,2103
73,d1c274F4756edEf,"Gross, Cunningham and Acevedo",http://yoder-doyle.com/,Guinea,Down-sized leadingedge implementation,1984,Education Management,3644
74,9A5f763D32E83fF,Meadows Inc,http://roberson.net/,Jamaica,Organic global superstructure,2017,Information Technology / IT,3235
75,0688dA60c92a29c,Mills-James,https://herman.com/,United Kingdom,User-friendly interactive frame,1983,International Trade / Development,1979
76,Bed8ffBAB5A2AE8,Castillo Inc,http://bradley.com/,Iceland,Digitized bifurcated hierarchy,1983,Information Technology / IT,869
77,aA5feDdDBAC9F69,Charles LLC,http://www.costa-boyd.com/,Jersey,Fundamental logistical implementation,2000,Facilities Services,999
78,7c12A0308311d1d,Rios-Carson,http://www.fischer-campos.com/,Sao Tome and Principe,Profit-focused system-worthy utilization,1985,Translation / Localization,1987
79,b2b5C176e4db9a4,Sullivan Inc,http://ayers-grimes.com/,San Marino,De-engineered multi-tasking task-force,1972,Printing,4373
80,6cBfCBFeAecd908,Walls-Alvarado,http://www.fuentes.com/,Romania,Stand-alone radical artificial intelligence,2019,Executive Office,297
81,Abd3b501bBff4dB,"Klein, Boyle and Harris",http://park-weber.info/,Lesotho,Progressive mission-critical flexibility,2009,Building Materials,86
82,552daBdbFBc4Dae,Forbes-Montes,http://lewis-pierce.com/,Marshall Islands,Phased motivating solution,2010,Paper / Forest Products,3991
83,22BAcE8EFa6A32F,"Ware, Salinas and Quinn",http://atkinson.net/,Liechtenstein,Fundamental eco-centric complexity,1980,Medical Practice,5759
84,Fd9F28BEeD3174d,Harrell-Harrison,http://www.leon-whitehead.org/,Cayman Islands,Reduced didactic hierarchy,1985,Building Materials,1273
85,f5a5f59Cf4BB0Ac,Sullivan-Arnold,https://morrison-bell.info/,Zambia,Organized neutral product,2014,Nanotechnology,3904
86,a1fAb6b1fD992c6,"Morgan, Deleon and Benjamin",https://www.greene-santana.com/,Netherlands,Inverse zero administration frame,2009,Public Safety,1566
87,Ca8fCC2Fb4DD29a,Austin-Schneider,https://roy.com/,Canada,Managed transitional ability,2003,Public Relations / PR,207
88,791A2dbB86a2e8f,Vasquez Group,http://www.friedman.com/,Poland,Cloned next generation intranet,2019,Political Organization,221
89,B7fC8e8AAeC5D76,"Brennan, Robbins and Wall",https://www.benjamin.info/,Guinea-Bissau,Synergized needs-based encoding,2019,Legislative Office,1174
90,225Fba9C3E9DC85,"Frye, Powell and Hayes",http://www.friedman.com/,Angola,Customer-focused logistical knowledgebase,1993,Import / Export,347
91,438CceF27395cd3,Becker-Wilson,https://barr-rios.biz/,Belize,Diverse reciprocal firmware,1999,Public Safety,2828
92,A5DC7bfEA17a982,Harrison and Sons,https://herrera.net/,Cyprus,Organic reciprocal methodology,2022,Banking / Mortgage,5671
93,1Ada6cDeC9Fa1d3,Campos PLC,https://hutchinson-orozco.com/,Northern Mariana Islands,Total optimizing matrices,1999,Glass / Ceramics / Concrete,7636
94,B5AFaF64Fc9dea8,Graham-Mcintyre,http://roman.com/,France,Managed tangible instruction set,2001,Research Industry,1840
95,8C9B798903Ed4DC,Manning-Kelley,https://www.wilkinson.net/,Aruba,Mandatory asynchronous open architecture,1989,Library,6511
96,2a1B01FdA39CFA8,Schmidt Group,http://pineda-ray.info/,Ecuador,Ergonomic global Graphical User Interface,1998,Utilities,9583
97,ABa8A9D6746bcb9,"Zimmerman, Willis and Castro",https://www.melton-mckee.com/,Jordan,Distributed executive frame,1981,Program Development,3654
98,9aff01677102B24,Costa-Estes,http://www.poole.com/,Ethiopia,Pre-emptive mobile website,2010,Information Technology / IT,3725
99,cec9dF9AB6efd76,"Hooper, Barber and Carrillo",https://watkins.com/,Slovakia (Slovak Republic),Phased 4thgeneration protocol,1975,Information Technology / IT,7354
100,D2794b9DBB3452A,"Pacheco, Stuart and Rivers",http://www.brandt-fritz.com/,Mozambique,Programmable 5thgeneration database,1980,Aviation / Aerospace,1880
101,BbA8170de4E792a,"Cohen, Sheppard and Cooley",https://robinson-hart.com/,Congo,Enterprise-wide neutral contingency,1994,Government Relations,7286
102,7C15bFBC74e50DD,Guerrero Group,http://www.short-reed.com/,Congo,Advanced reciprocal workforce,2011,E - Learning,3717
103,949AE2A72C0B768,Henderson and Sons,http://cordova-arnold.com/,Puerto Rico,Public-key background moratorium,2008,Alternative Dispute Resolution,4865
104,9b2Aca738E0cb75,Melton-Gallagher,https://www.le.org/,Antigua and Barbuda,Optimized value-added circuit,1987,Philanthropy,4775
105,7fEbDDBc6cDF436,"Randall, Michael and Lyons",http://www.dunlap-kline.net/,Tunisia,Robust web-enabled infrastructure,1995,Military Industry,1951
106,8e5bac6A25bBEec,Peterson-Stevenson,http://cruz.biz/,Palestinian Territory,Compatible zero-defect infrastructure,2006,Research Industry,176
107,bAf13e4107cA13b,"Tate, Alvarez and Savage",http://romero-nolan.com/,Paraguay,Monitored client-driven capacity,2006,Music,187
108,4CeFf8Bd12BDF0c,Weiss-Orozco,https://ortega.net/,Nauru,Vision-oriented solution-oriented utilization,1979,Real Estate / Mortgage,2841
109,2AA64d3745Eb0C3,Dougherty-Knox,https://burton.net/,Saint Barthelemy,Networked demand-driven hierarchy,1980,Investment Management / Hedge Fund / Private Equity,5571
110,f4a8b3Fdd495cFF,"Frey, Burch and Pearson",http://www.clayton.com/,Bouvet Island (Bouvetoya),Expanded incremental middleware,1970,Events Services,8304
111,f2D60f464ABDccE,Gilmore-Stevenson,http://juarez-blake.com/,Svalbard & Jan Mayen Islands,Profit-focused eco-centric array,2012,Broadcast Media,1356
112,5ABEc463DE38d4c,"Hopkins, Shah and Gilmore",http://bernard-wu.com/,Morocco,De-engineered hybrid conglomeration,1972,Defense / Space,353
113,941FCfadd7De9b5,"Lozano, Herring and Griffin",http://friedman-hanna.org/,Sri Lanka,Multi-channeled real-time project,2020,Medical Equipment,8004
114,fb0A2fcDd223171,"Cisneros, Cisneros and Peterson",https://www.frost.biz/,Mongolia,Progressive heuristic standardization,1974,Mining / Metals,9016
115,AFD31ed53D1A6Ef,"Ball, Yang and Sloan",http://www.lindsey-solis.net/,Cayman Islands,Fully-configurable background matrix,2014,Legal Services,784
116,9012f63Ec2c6e8B,Gallagher Inc,https://lozano.com/,Belarus,Phased uniform software,2020,Translation / Localization,1469
117,01e4B7F4CcC6d6B,Hebert-Stephens,http://www.leon.com/,Solomon Islands,Synchronized heuristic parallelism,2004,Civic / Social Organization,7052
118,A6AEdcCbdb351a2,Gibbs Inc,http://www.rice-hogan.com/,Nicaragua,Multi-lateral web-enabled Graphical User Interface,1986,Public Safety,6537
119,3D2F244D2AC0fe0,Cameron-Hines,https://mitchell-copeland.info/,Japan,Profit-focused zero tolerance customer loyalty,2000,Consumer Electronics,2251
120,8a90Eb17125a145,Mack-Swanson,https://www.barber-carlson.org/,Turkey,Enhanced bifurcated middleware,2003,Food / Beverages,4229
121,385fEc9DfcdaE1A,Collins Ltd,https://osborne.com/,Malta,Programmable empowering moderator,1997,Wireless,5972
122,Adf0c3EFE4e50bd,"Petersen, Michael and Hanson",http://shah.com/,Dominican Republic,Object-based leadingedge pricing structure,2004,Computer / Network Security,8584
123,bD2f06Bbc59E4Ee,Proctor-Horn,https://www.savage.com/,Korea,Focused stable initiative,1982,Music,1526
124,7DC2eeAF9bc6CbC,Leach-Moody,http://www.russo-weiss.com/,Bahrain,Quality-focused mission-critical paradigm,1988,Entertainment / Movie Production,5038
125,1ebF2eBC4CdEff1,Gallegos-Erickson,https://brewer-mooney.info/,South Africa,Realigned reciprocal challenge,2008,Professional Training,1928
126,8Dd3Bb0a3A0f3aA,Garcia LLC,http://mueller.com/,Macao,Persevering client-driven definition,2021,Online Publishing,256
127,D9dD53Bf1DfEB43,Quinn-Hunt,https://www.schultz.com/,Australia,Vision-oriented background project,1989,Supermarkets,7143
128,f1CBafA2e8931F6,Bray-Hendricks,http://rich-macdonald.net/,Qatar,Robust object-oriented methodology,2003,Automotive,9081
129,9E8dFa7993fECc1,Salinas-Ali,http://www.bond-jimenez.org/,British Virgin Islands,Versatile real-time monitoring,1990,Building Materials,4782
130,Cda2e989CBc32D8,Beck-Williams,http://hudson.org/,Mozambique,Managed national service-desk,1984,Utilities,9299
131,7Bf242da4EF3dE8,"Roberson, Gallagher and Cobb",https://www.novak.com/,Northern Mariana Islands,Reduced fresh-thinking capacity,2000,Other Industry,3166
132,57cb5c88A110Dc3,"Rollins, Rhodes and Caldwell",https://gentry-archer.com/,Panama,Proactive composite adapter,1994,Venture Capital / VC,4489
133,6A00Dc28AD7D9d9,Brandt-Beck,http://gentry.com/,Tanzania,Re-engineered heuristic concept,1998,Individual / Family Services,353
134,3f09B74Cd4c1a7D,"Ruiz, Holt and Montgomery",http://vang-rush.com/,Turkey,Multi-lateral scalable implementation,1983,Music,5252
135,e9d17f674dacfc8,"Brennan, Schultz and Stevenson",https://irwin.biz/,Equatorial Guinea,Synergized mission-critical secured line,1993,Alternative Dispute Resolution,1160
136,bF7BFAA5f5BbBB2,Mccullough PLC,http://munoz.com/,Lao People's Democratic Republic,Innovative radical productivity,2003,Medical Practice,3148
137,CAbCAa1d5A2eddF,"Everett, Mann and Murphy",http://www.downs-mccann.org/,Zambia,Focused leadingedge portal,1978,Marketing / Advertising / Sales,1043
138,C64DFCC2b8BfAA6,Mcneil Inc,https://www.wilkins.com/,Egypt,Organized exuding installation,2010,Construction,2284
139,3D8cf04bf3CdD0B,Farrell-Kaufman,http://alexander.com/,Saint Lucia,Phased 4thgeneration focus group,1994,Veterinary,4645
140,ba9Db7913F0b489,"Herrera, White and Buckley",https://robles.org/,Korea,Phased discrete budgetary management,2021,Law Enforcement,7798
141,Dabd64f59272fC1,Gonzales LLC,http://www.acosta-marks.com/,Isle of Man,Pre-emptive uniform task-force,1974,Religious Institutions,5651
142,6bf3F0AFC1f5Aa7,Romero PLC,http://hebert-allen.com/,Botswana,Adaptive modular superstructure,2000,Media Production,8203
143,6262CAdAF97dCe8,Wyatt-Crosby,https://wood.biz/,Saudi Arabia,Synergized asynchronous open architecture,2010,Graphic Design / Web Design,3027
144,b9B4D4328b5EdCA,"Barnett, Harding and Wu",https://lang.com/,Tokelau,Decentralized national workforce,2000,Textiles,841
145,7993b248F05f4Db,"Howard, Perry and Vance",https://www.wilkinson.com/,Guyana,Optimized interactive encryption,2018,Real Estate / Mortgage,3501
146,36De4477DB9eEbb,"Riggs, Riddle and Wells",http://houston.org/,Norfolk Island,Devolved actuating functionalities,1989,Other Industry,5868
147,5df810B3bAbf539,"Bernard, Bennett and Esparza",http://nielsen.com/,Saint Lucia,Sharable holistic middleware,1980,Pharmaceuticals,2133
148,EdadcD2cBD3f830,Duncan Group,http://www.burton.net/,Honduras,Extended human-resource core,1997,Automotive,4126
149,20a2CF6891feac5,"Conrad, Mccarthy and Matthews",http://www.francis.com/,Holy See (Vatican City State),Total uniform model,2012,Electrical / Electronic Manufacturing,5626
150,Bb61A29d8dcfDBa,"Villegas, Shaffer and Chaney",http://www.walton-watts.com/,Georgia,Compatible high-level matrices,2021,Public Relations / PR,7003
151,f183DbdeEbBDbdF,Duarte Inc,https://knight.com/,San Marino,Organic web-enabled task-force,2002,Public Safety,6566
152,dD35BB69da96AfA,"Mullins, Griffith and Rowland",https://www.patrick-mclaughlin.com/,Belize,User-friendly 4thgeneration archive,1982,Building Materials,3409
153,65E2F034a2F078D,Chang-Casey,https://www.keller.com/,Colombia,Proactive bifurcated task-force,1981,Alternative Dispute Resolution,9897
154,34F3AcEa34F02aa,"Kirby, Cisneros and Vaughn",http://www.mullins.biz/,Montserrat,Upgradable stable migration,1975,Hospitality,3100
155,094EC0Ae1989D5D,Byrd PLC,http://whitaker.com/,Czech Republic,Seamless multimedia groupware,1983,Government Administration,9109
156,6ddFc3c0B7D8feD,"Park, Reese and Kirk",https://www.hanna.com/,Benin,Multi-layered fault-tolerant flexibility,2007,Biotechnology / Greentech,479
157,d1ce0cF59CF144b,Harvey PLC,https://mccoy.com/,Niger,Distributed well-modulated success,1980,Textiles,8280
158,A6BFcE2a9d9d2E1,Alvarado Inc,http://huffman.com/,Brazil,Function-based bifurcated hardware,2004,Program Development,7066
159,eCda16B58d094B7,"Ashley, Perkins and Hickman",https://www.page.com/,Tajikistan,Visionary coherent workforce,2011,Semiconductors,3344
160,dA82429C33d97b6,Pineda-Bass,https://www.hawkins-pennington.biz/,Venezuela,Realigned global infrastructure,1979,Semiconductors,2430
161,497Bb706DDeD128,Potter-Goodman,http://bullock.com/,Poland,Realigned dynamic service-desk,1986,Furniture,1482
162,AeCEDC39d72C1BE,Chung-Hodge,http://pope-novak.biz/,Macao,Multi-channeled maximized solution,1986,Publishing Industry,9690
163,dF9ec9a9329f4f4,Bailey LLC,https://lloyd.com/,Chile,Networked system-worthy throughput,1993,Staffing / Recruiting,1076
164,D166ff89C10C5Fc,Mullins Inc,http://www.duarte.org/,El Salvador,Focused mission-critical Graphic Interface,1978,Entertainment / Movie Production,6339
165,94c2613dEE7b281,"Fox, Moore and Jenkins",https://www.hodge.com/,Moldova,Front-line national Local Area Network,1993,Newspapers / Journalism,9663
166,f8eCC7590CCe4ba,Roach and Sons,https://bradley-chandler.com/,Montserrat,Cross-platform 5thgeneration benchmark,1982,Performing Arts,424
167,Ab979eB5C53aFb6,Franklin and Sons,http://www.rivers-bowman.org/,Latvia,Implemented bi-directional standardization,2006,Food / Beverages,6591
168,4Aa3128bA189372,"Brown, Tucker and Payne",http://www.clements-brewer.net/,Afghanistan,Decentralized demand-driven synergy,1984,Fine Art,8097
169,b960aFEE8a3fC34,Ponce-Dickson,https://www.martinez-kennedy.info/,Romania,Mandatory multi-state utilization,2018,Design,6678
170,aCFEeA4a0Cd2D4C,Romero Inc,http://www.powers-whitney.com/,Saint Pierre and Miquelon,Reduced 24hour Internet solution,1976,Business Supplies / Equipment,4991
171,9C3BE37A72E269A,Flowers-Chase,http://www.meza.org/,Cyprus,Public-key solution-oriented access,2014,Plastics,7129
172,B1Afa0c09eA1dE3,"Wagner, Case and Griffith",https://www.copeland.com/,Cocos (Keeling) Islands,Organic 6thgeneration infrastructure,1983,Glass / Ceramics / Concrete,3143
173,5F6DcEf31FFE36c,Rhodes Ltd,https://luna.org/,Cambodia,Synchronized high-level paradigm,1975,Ranching,2185
174,5eBCCb83A7aDEde,Moody Ltd,http://www.richardson.com/,New Caledonia,Up-sized systemic adapter,1971,Law Practice / Law Firms,9761
175,591cb6e2acFF248,Roth and Sons,https://www.hahn.net/,Suriname,Horizontal global collaboration,2004,Staffing / Recruiting,1873
176,dd8B7E1b9Aa2d0b,Villarreal-Romero,http://www.barker.info/,Lithuania,Synchronized 24hour success,1980,Electrical / Electronic Manufacturing,8682
177,C4AB6fe9A9ff9Ce,Erickson-Bird,http://www.curry.com/,Grenada,Face-to-face 4thgeneration archive,1986,Museums / Institutions,8976
178,A888764AcB02eDF,Cameron PLC,https://www.bartlett.com/,Honduras,Multi-tiered didactic benchmark,1979,Government Administration,4270
179,5b286fAdabAd571,Richmond Group,http://baird.info/,Albania,Persistent modular hardware,1976,Individual / Family Services,1497
180,ad56Ddcffc26F29,"Gillespie, Flores and Huber",http://www.powers.info/,Croatia,Open-architected full-range intranet,1978,Textiles,4141
181,2eec2aC53AFD7A3,Hester and Sons,http://www.wang.com/,Togo,Digitized uniform solution,2007,Computer Software / Engineering,1950
182,4E9f9DAa63aC01C,"Merritt, Mccarthy and Adkins",http://www.gentry-atkins.biz/,Afghanistan,Ergonomic maximized parallelism,2004,Leisure / Travel,4455
183,5342BEcdfBC0b52,"Hatfield, Kelley and Bowman",https://freeman.com/,Colombia,Focused scalable approach,1996,Information Technology / IT,4308
184,C68fFBEf1AE12F3,"Dean, Hooper and David",https://www.valdez.info/,Malta,Synchronized zero tolerance initiative,2008,Package / Freight Delivery,6252
185,4e38c5B4A3dF37e,Hamilton LLC,http://ewing.biz/,Sao Tome and Principe,Progressive analyzing structure,2006,Oil / Energy / Solar / Greentech,3135
186,12b702fffFBbD61,Patrick PLC,http://www.mccarty.net/,Paraguay,Function-based foreground help-desk,2008,Management Consulting,3083
187,bb6bffa64fD1E9e,"Graham, Johnston and Beasley",https://walter.com/,Dominican Republic,Stand-alone static collaboration,2005,Other Industry,1094
188,37AE83AA0eBE0A2,Mack-Jefferson,https://www.yang.com/,Mexico,Optimized discrete core,1986,Hospital / Health Care,986
189,d1dCFB487CA2AEd,"Saunders, Banks and Rangel",http://www.frey-nolan.biz/,Isle of Man,Visionary 24/7 portal,1987,Medical Equipment,9834
190,f9B1Ce3D2a906B2,"Waters, Garza and Bowman",https://johnson.org/,Hong Kong,Decentralized composite concept,2015,Financial Services,4935
191,fA53c6b0C163DfB,Zimmerman LLC,http://www.campos.com/,Hungary,Mandatory solution-oriented Local Area Network,1986,Computer Games,1002
192,68BB48C457bEaE7,Cox-Hale,http://www.fox-kerr.info/,Costa Rica,Configurable empowering forecast,1989,Health / Fitness,7005
193,F69A1bC6dFB42aC,"Gordon, Mckenzie and Chung",https://walsh.com/,Brazil,Progressive hybrid challenge,1977,Building Materials,2004
194,B1Eeb2AE1270000,"Carter, Fowler and Rich",http://www.benson.info/,Peru,Integrated scalable frame,2008,Wine / Spirits,4059
195,290DDe11C4F1fCA,Crane-Krueger,https://randolph.biz/,Mali,User-centric asynchronous productivity,2003,Cosmetics,8820
